id;name;bank_number;agency_number;last_operation_duration;mean_operation_duration;balance;opening_day;last_operation_date;active;account_type;attachment;attachment_content_type;description;company_id
1;monitor;47917;17676;4944;85342;56;2020-12-03;2020-12-02T22:16:02;false;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;1
2;Steel bypass;38227;22265;5554;29169;61296;2020-12-02;2020-12-02T20:54:08;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2
3;Planner Savings Account;4492;23597;37315;35179;58341;2020-12-02;2020-12-03T06:40:57;false;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;3
4;distributed North Korean Won Lebanese Pound;78428;49426;16567;64012;50180;2020-12-02;2020-12-02T23:55:27;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;4
5;Fresh;4327;21080;3173;20551;34696;2020-12-02;2020-12-02T22:10:17;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;5
6;Malaysia;60774;94980;800;57751;93593;2020-12-02;2020-12-03T04:10:39;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;6
7;paradigms feed;93839;4905;17093;46969;29667;2020-12-02;2020-12-02T16:00:49;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;7
8;Usability Generic;2787;94272;47143;87380;37246;2020-12-02;2020-12-02T09:27:04;false;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;8
9;navigate;46867;78035;40962;59377;63670;2020-12-03;2020-12-03T07:09:59;true;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;9
10;communities Industrial functionalities;55168;18898;31612;74611;11956;2020-12-02;2020-12-03T02:00:24;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;10
